symbol,open,close,high,low,volume,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
TRXUSDT,0.27987,0.2798,0.27991,0.27971,,70403.12455,59945.0,16772.61261,268,1771186800000
IOSTUSDT,0.001258,0.001258,0.001259,0.001258,,1299.919264,962060.0,1210.578369,14,1771186800000
CRVUSDT,0.248,0.248,0.249,0.248,,2635.6773,7174.9,1786.5501,19,1771186800000
XTZUSDT,0.396,0.397,0.397,0.396,,3242.225,8115.1,3213.5942,57,1771186800000
ATOMUSDT,2.12,2.125,2.126,2.12,,8813.18835,3053.8,6484.55657,135,1771186800000
RLCUSDT,0.4441,0.4455,0.4456,0.4441,,833.33204,1360.7,604.66009,29,1771186800000
THETAUSDT,0.2054,0.2057,0.2057,0.2054,,1050.69713,4319.5,887.68271,47,1771186800000
ALGOUSDT,0.0948,0.095,0.095,0.0948,,22570.02316,155572.4,14764.17799,44,1771186800000
DOGEUSDT,0.10281,0.1028,0.10286,0.10273,,398496.0257,1688138.0,173526.52514,1294,1771186800000
TRBUSDT,15.387,15.432,15.446,15.387,,4117.7667,166.5,2567.5773,181,1771186800000
SNXUSDT,0.286,0.287,0.287,0.286,,16492.0606,37322.6,10711.5862,60,1771186800000
BCHUSDT,553.36,553.91,553.91,553.34,,32834.61649,36.843,20399.89074,304,1771186800000
KNCUSDT,0.1404,0.1408,0.1408,0.1404,,2133.1629,15174.0,2133.1629,29,1771186800000
YFIUSDT,2835.0,2839.0,2839.0,2835.0,,346.168,0.109,309.285,24,1771186800000
ZRXUSDT,0.1075,0.1076,0.1076,0.1075,,1659.93026,15433.9,1659.93026,16,1771186800000
ETHUSDT,1942.27,1944.58,1944.82,1941.89,,4129808.21909,1535.383,2983664.5892,5186,1771186800000
BATUSDT,0.1283,0.1285,0.1285,0.1283,,721.97705,4507.4,578.74685,20,1771186800000
SUSHIUSDT,0.2055,0.206,0.206,0.2055,,2190.2308,10561.0,2174.1683,52,1771186800000
ADAUSDT,0.2791,0.2795,0.2796,0.279,,46145.9635,126685.0,35381.1608,242,1771186800000
ZILUSDT,0.00427,0.00429,0.00429,0.00427,,7330.33373,1636023.0,7002.19538,62,1771186800000
ONTUSDT,0.0456,0.0456,0.0456,0.0456,,1953.92352,42849.2,1953.92352,24,1771186800000
