symbol,volume_10m
0GUSDT,858377.3868999999
1000000BOBUSDT,6334.50923
1000000MOGUSDT,22735.9752
1000BONKUSDT,597375.720713
1000CATUSDT,18549.364227
1000CHEEMSUSDT,60279.4549975
1000FLOKIUSDT,194190.6507
1000LUNCUSDT,233817.7881
1000PEPEUSDT,4853489.4492127
1000RATSUSDT,70459.59277
1000SATSUSDT,15499.9307328
1000SHIBUSDT,971368.274581
1000WHYUSDT,5627.6521857
1000XECUSDT,9590.96414
1INCHUSDT,228277.8858
1MBABYDOGEUSDT,68652.33948560001
2ZUSDT,86954.03678
4USDT,49073.52523
A2ZUSDT,13685.818696
AAVEUSDT,1010166.499
ACEUSDT,14234.533805000001
ACHUSDT,51876.62869
ACTUSDT,96438.6308
ACUUSDT,139908.22931
ACXUSDT,9305.561656
ADAUSDT,3277484.3633000003
AERGOUSDT,26366.70724
AEROUSDT,65445.86633
AEVOUSDT,12864.112273
AGLDUSDT,16750.0854
AGTUSDT,26250.658757
AIAUSDT,59062.56912
AINUSDT,2639.45729
AIOTUSDT,9640.8587
AIOUSDT,8043.34197
AIUSDT,16343.988870000001
AIXBTUSDT,81957.12484
AKEUSDT,6349.4365505000005
AKTUSDT,23857.27393
ALCHUSDT,25431.75589
ALGOUSDT,432314.09132999997
ALICEUSDT,84408.2595
ALLOUSDT,38233.2157
ALLUSDT,25773.1797
ALPINEUSDT,13136.35285
ALTUSDT,48321.46443
ANIMEUSDT,129641.780594
ANKRUSDT,19685.139779
APEUSDT,147745.1726
API3USDT,46998.03633
APRUSDT,17592.4253
APTUSDT,526254.47832
ARBUSDT,1211557.1760800001
ARCUSDT,76288.55013
ARIAUSDT,2080.34852
ARKMUSDT,148401.1349
ARKUSDT,79488.8235
ARPAUSDT,83161.12493
ARUSDT,158408.5091
ASRUSDT,21590.2186
ASTERUSDT,1411411.6997
ASTRUSDT,67989.281961
ATAUSDT,11897.5025
ATHUSDT,55879.672340000005
ATOMUSDT,509597.83974
ATUSDT,74951.33695
AUCTIONUSDT,109463.55991
AUSDT,90449.7387
AVAAIUSDT,959791.01128
AVAUSDT,8584.96031
AVAXUSDT,2502326.286
AVNTUSDT,186714.0774
AWEUSDT,22916.82145
AXLUSDT,135795.88121
AXSUSDT,1410731.431
B2USDT,15742.4972
B3USDT,9958.858218
BABYUSDT,29088.10061
BANANAS31USDT,34133.830066
BANANAUSDT,28716.9073
BANDUSDT,34911.48962
BANKUSDT,9068.77969
BANUSDT,22854.46042
BARDUSDT,64524.9229
BASUSDT,20888.649171
BATUSDT,122556.04564
BBUSDT,52420.72863
BCHUSDT,2423539.55572
BDXNUSDT,5731.50344
BEAMXUSDT,43332.676074
BEATUSDT,142953.2304
BELUSDT,9518.3443
BERAUSDT,218426.12484
BICOUSDT,13404.08875
BIGTIMEUSDT,37690.16592
BIOUSDT,126460.72359000001
BIRBUSDT,472574.74415
BLESSUSDT,24712.01277
BLUAIUSDT,58856.530267
BLURUSDT,98699.42077
BMTUSDT,10501.166870000001
BNBUSDT,12910199.9433
BNTUSDT,14016.043000000001
BOBUSDT,26037.896836
BOMEUSDT,119640.549684
BRETTUSDT,57288.98813
BREVUSDT,211114.3169
BROCCOLI714USDT,63467.87435
BROCCOLIF3BUSDT,5678.460623
BRUSDT,2638.81736
BSVUSDT,58721.811
BTCDOMUSDT,212639.6783
BTCUSDT,214318014.8368
BTRUSDT,154420.38852
BULLAUSDT,3471925.244
BUSDT,13285.4655
C98USDT,194581.2452
CAKEUSDT,226706.9681
CARVUSDT,17285.3239
CATIUSDT,9937.80457
CCUSDT,253533.01676000003
CELOUSDT,119322.8155
CELRUSDT,17609.278309999998
CETUSUSDT,11314.161580000002
CFXUSDT,120953.85871
CGPTUSDT,35145.328219999996
CHESSUSDT,3867.0278
CHILLGUYUSDT,5870.28362
CHRUSDT,18311.3112
CHZUSDT,506141.68386
CKBUSDT,32482.343277
CLANKERUSDT,147661.0812
CLOUSDT,79203.7372
COAIUSDT,34844.7375
COLLECTUSDT,209594.84876999998
COMPUSDT,130079.21327000001
COOKIEUSDT,56842.56293
COSUSDT,5578.151103
COTIUSDT,44160.53135
COWUSDT,22207.0687
CROSSUSDT,21159.2889
CRVUSDT,966595.6259
CTKUSDT,3267.236
CTSIUSDT,13655.6106
CUSDT,15845.84429
CVCUSDT,31191.46833
CVXUSDT,24608.5883
CYBERUSDT,42093.03211
CYSUSDT,840652.8383000001
DAMUSDT,10112.15828
DASHUSDT,1076124.7204800001
DEEPUSDT,69342.69747
DEGENUSDT,14848.85816
DEGOUSDT,7059.44813
DENTUSDT,35820.485428
DEXEUSDT,15807.30406
DFUSDT,7664.422570000001
DIAUSDT,11358.9123
DODOXUSDT,13730.667022
DOGEUSDT,13251763.91505
DOGSUSDT,48102.6861447
DOLOUSDT,53256.90508
DOODUSDT,18083.933801
DOTUSDT,1405193.1671
DRIFTUSDT,44965.1344
DUSDT,20519.85448
DUSKUSDT,220110.03435
DYDXUSDT,162034.179
DYMUSDT,18171.615005
EDENUSDT,33339.13021
EDUUSDT,89369.2258
EGLDUSDT,83404.8622
EIGENUSDT,349461.37668
ELSAUSDT,172718.64421
ENAUSDT,1957168.3408
ENJUSDT,23969.20922
ENSOUSDT,521518.28637
ENSUSDT,162861.2333
EPICUSDT,7164.10882
ERAUSDT,50194.941399999996
ESPORTSUSDT,29788.354659999997
ETCUSDT,542195.04856
ETHBTC,27.59404168
ETHFIUSDT,248594.00816
ETHUSDT,324305159.94273
ETHWUSDT,3667.0143
EULUSDT,23488.086
EVAAUSDT,14443.98877
FARTCOINUSDT,994448.30712
FETUSDT,306661.6311
FFUSDT,70788.60542
FHEUSDT,131933.76017
FIDAUSDT,17641.29595
FIGHTUSDT,436359.152811
FILUSDT,1565219.3233
FIOUSDT,8424.33475
FLOCKUSDT,19804.695499999998
FLOWUSDT,50071.644824
FLUIDUSDT,48855.898
FLUXUSDT,8054.504800000001
FOGOUSDT,261698.66042
FOLKSUSDT,86866.6267
FORMUSDT,70371.13351
FORTHUSDT,17019.5138
FRAXUSDT,186462.7781
FUNUSDT,114810.52915
FUSDT,301413.492704
GALAUSDT,434062.92056999996
GASUSDT,254247.3592
GHSTUSDT,6090.7612
GIGGLEUSDT,205832.9473
GLMUSDT,49422.80808
GMTUSDT,257400.51955
GMXUSDT,20422.65313
GOATUSDT,16515.57229
GPSUSDT,22076.046678
GRASSUSDT,35963.05645
GRIFFAINUSDT,21381.47528
GRTUSDT,77339.45296
GTCUSDT,27298.1601
GUAUSDT,10624.076000000001
GUNUSDT,87271.37509
GUSDT,28404.333969
GWEIUSDT,211867.514019
HAEDALUSDT,14114.3517
HANAUSDT,685521.42253
HBARUSDT,835658.19895
HEIUSDT,11588.19802
HEMIUSDT,61257.6443
HFTUSDT,48429.9289
HIGHUSDT,17253.65289
HIPPOUSDT,16973.606392
HIVEUSDT,23360.23489
HMSTRUSDT,31216.5073989
HOLOUSDT,47163.239199999996
HOMEUSDT,35986.605579
HOOKUSDT,6574.781029
HOTUSDT,28642.541667999998
HUMAUSDT,35076.105970000004
HUSDT,259949.39381
HYPERUSDT,98357.68029999999
HYPEUSDT,8751285.21343
ICNTUSDT,76047.7166
ICPUSDT,479686.715
ICXUSDT,36828.3295
IDOLUSDT,5237.5165
IDUSDT,30674.084959999996
ILVUSDT,16989.3
IMXUSDT,113403.5115
INITUSDT,36237.4564
INJUSDT,309236.13790000003
INUSDT,14300.61807
INXUSDT,126202.467823
IOSTUSDT,64341.978856999995
IOTAUSDT,91122.22214
IOTXUSDT,15803.29256
IOUSDT,49535.15069
IPUSDT,510544.3163
IRUSDT,8469.47565
IRYSUSDT,105738.359896
JASMYUSDT,174973.612459
JCTUSDT,21618.017367
JELLYJELLYUSDT,35170.18872
JOEUSDT,6460.02575
JSTUSDT,34433.780435
JTOUSDT,158691.6018
JUPUSDT,724456.1548
KAIAUSDT,82749.70999
KAITOUSDT,149433.71557
KASUSDT,135293.29795
KAVAUSDT,30409.84551
KERNELUSDT,34706.995689999996
KGENUSDT,23967.87959
KITEUSDT,153795.66748
KMNOUSDT,20029.45425
KNCUSDT,14286.8546
KOMAUSDT,5038.38332
KSMUSDT,46423.7315
LABUSDT,6346.59536
LAUSDT,41927.74942
LAYERUSDT,170103.59813
LDOUSDT,316324.1426
LIGHTUSDT,439627.2864
LINEAUSDT,383287.761286
LINKUSDT,3074087.98095
LISTAUSDT,15465.573199999999
LITUSDT,264999.7423
LPTUSDT,73342.6617
LQTYUSDT,16948.751930000002
LRCUSDT,34123.7578
LSKUSDT,25675.2488
LTCUSDT,2482120.78112
LUMIAUSDT,6352.187629999999
LUNA2USDT,166978.25829
LYNUSDT,8335.32593
MAGICUSDT,54455.68576
MAGMAUSDT,9689.17792
MANAUSDT,179025.2269
MANTAUSDT,62198.073783
MASKUSDT,77797.9515
MAVIAUSDT,6838.02644
MAVUSDT,17293.92673
MBOXUSDT,11026.894559999999
MEGAUSDT,48009.7857
MELANIAUSDT,278188.357946
MEMEUSDT,135626.842416
MERLUSDT,157193.76579
METISUSDT,24291.41922
METUSDT,196624.3812
MEUSDT,89139.46169
MEWUSDT,44683.414654
MINAUSDT,141540.8924
MIRAUSDT,51282.1735
MITOUSDT,8927.726499999999
MLNUSDT,13887.01122
MMTUSDT,91355.2055
MOCAUSDT,21907.48115
MONUSDT,163392.45695
MOODENGUSDT,131009.25121
MORPHOUSDT,68056.82282
MOVEUSDT,105506.74882
MOVRUSDT,18348.07351
MTLUSDT,11686.3421
MUBARAKUSDT,18678.42829
MUSDT,48638.5285
MYXUSDT,204319.47
NAORISUSDT,15807.814489999999
NEARUSDT,1107167.7249999999
NEIROUSDT,181604.0679908
NEOUSDT,119952.12014
NEWTUSDT,56137.9917
NFPUSDT,30316.77442
NIGHTUSDT,77454.91891
NILUSDT,10793.635445
NKNUSDT,14280.24741
NMRUSDT,62573.480500000005
NOMUSDT,159646.154219
NOTUSDT,37511.1011952
NTRNUSDT,9621.109639999999
NXPCUSDT,43692.1946
OGNUSDT,42825.9658
OGUSDT,12109.8101
OLUSDT,2036.8129
OMUSDT,262247.374837
ONDOUSDT,598922.36485
ONEUSDT,30177.60379
ONGUSDT,30450.25419
ONTUSDT,85043.88057000001
ONUSDT,11202.74227
OPENUSDT,47504.3428
OPUSDT,902218.69668
ORCAUSDT,30420.394
ORDERUSDT,12259.56565
ORDIUSDT,277884.7089
OXTUSDT,5354.42177
PARTIUSDT,46625.77633
PAXGUSDT,3811900.72839
PENDLEUSDT,317454.23610000004
PENGUUSDT,711690.661617
PEOPLEUSDT,64836.91375
PHAUSDT,9678.21047
PHBUSDT,24430.605600000003
PIEVERSEUSDT,40309.7855
PIPPINUSDT,844100.13833
PIXELUSDT,16312.88332
PLAYUSDT,92404.80924
PLUMEUSDT,86899.98137
PNUTUSDT,184234.67867
POLUSDT,349503.92993
POLYXUSDT,46057.76994
POPCATUSDT,77262.1397
PORTALUSDT,12764.283437
POWERUSDT,22107.250809999998
POWRUSDT,25172.47811
PROMPTUSDT,34895.97215
PROMUSDT,35448.7772
PROVEUSDT,30306.836860000003
PTBUSDT,49884.42761
PUFFERUSDT,5147.67451
PUMPBTCUSDT,7657.00284
PUMPUSDT,3971406.029987
PUNDIXUSDT,35459.678400000004
PYTHUSDT,127375.88115999999
QNTUSDT,47150.952999999994
QTUMUSDT,56439.1672
QUSDT,51971.381702
RAREUSDT,16402.25523
RAVEUSDT,25971.70255
RAYSOLUSDT,88227.80516
RDNTUSDT,17697.73658
RECALLUSDT,7597.7764
REDUSDT,27239.9533
RENDERUSDT,259846.4554
RESOLVUSDT,136542.52555
REZUSDT,25376.197532
RIFUSDT,22848.86896
RIVERUSDT,3205763.9278
RLCUSDT,16989.15437
RLSUSDT,14464.165271
RONINUSDT,27817.02346
ROSEUSDT,279564.17067
RPLUSDT,10027.5814
RSRUSDT,43921.191176
RUNEUSDT,94247.8713
RVNUSDT,24705.875640000002
RVVUSDT,120716.59899
SAFEUSDT,10397.159
SAGAUSDT,49648.561807
SAHARAUSDT,50949.58346
SANDUSDT,406862.61098999996
SANTOSUSDT,7360.8209
SAPIENUSDT,32020.56987
SCRTUSDT,14262.7083
SCRUSDT,15054.94027
SEIUSDT,416237.8078
SENTUSDT,862963.27135
SFPUSDT,9899.052800000001
SHELLUSDT,21311.78513
SIGNUSDT,11018.39645
SIRENUSDT,3385.66786
SKLUSDT,44614.34264
SKRUSDT,487382.181398
SKYAIUSDT,3296.61028
SKYUSDT,48399.05061
SLPUSDT,14285.9552274
SNXUSDT,203348.6681
SOLUSDT,47711398.7818
SOLVUSDT,8049.87839
SOMIUSDT,435663.17209999997
SONICUSDT,6001.192397
SOONUSDT,34733.990900000004
SOPHUSDT,136738.2088
SPACEUSDT,120159.776842
SPELLUSDT,13406.8494019
SPKUSDT,15509.44619
SPORTFUNUSDT,78608.24398
