ticker,volume,time,buy\short_price,min_price,min_price_time,max_price,max_price_time,RPS_(30%)_SL_1%,RPS_(30%)_SL_2%,RPS_(30%)_SL_3%,RPS_(30%)_SL_4%,RPS_(30%)_SL_5%,max_loss_%,RPB_(30%)_SL_1%,RPB_(30%)_SL_2%,RPB_(30%)_SL_3%,RPB_(30%)_SL_4%,RPB_(30%)_SL_5%,max_proffit_%
GASUSDT,9.52,2026-01-17 01:02:15,2.142,2.142,,2.142,,,,,,,,,,,,,
LQTYUSDT,7.92,2026-01-17 01:06:15,0.4216,0.4216,,0.4216,,,,,,,,,,,,,
ENJUSDT,7.18,2026-01-17 01:26:15,0.03279,0.03279,,0.03279,,,,,,,,,,,,,
COSUSDT,6.56,2026-01-17 01:57:16,0.001414,0.001414,,0.001414,,,,,,,,,,,,,
CELRUSDT,9.06,2026-01-17 02:01:15,0.00432,0.00432,,0.00432,,,,,,,,,,,,,
CLOUSDT,5.75,2026-01-17 02:05:15,0.7837,0.7837,,0.7837,,,,,,,,,,,,,
BERAUSDT,12.83,2026-01-17 02:05:16,0.727,0.727,,0.727,,,,,,,,,,,,,
AIUSDT,11.23,2026-01-17 02:14:15,0.045,0.045,,0.045,,,,,,,,,,,,,
AXSUSDT,5.16,2026-01-17 02:47:15,1.38,1.38,,1.38,,,,,,,,,,,,,
FLUXUSDT,5.29,2026-01-17 02:49:16,0.113,0.113,,0.113,,,,,,,,,,,,,
RVNUSDT,6.48,2026-01-17 02:53:15,0.00774,0.00774,,0.00774,,,,,,,,,,,,,
SANDUSDT,5.11,2026-01-17 03:11:16,0.13138,0.13138,,0.13138,,,,,,,,,,,,,
DMCUSDT,5.49,2026-01-17 04:40:15,0.001475,0.001475,,0.001475,,,,,,,,,,,,,
BANUSDT,22.16,2026-01-17 06:38:15,0.08091,0.08091,,0.08091,,,,,,,,,,,,,
CVXUSDT,5.23,2026-01-17 06:58:15,2.097,2.097,,2.097,,,,,,,,,,,,,
RONINUSDT,5.62,2026-01-17 07:36:15,0.1668,0.1668,,0.1668,,,,,,,,,,,,,
EGLDUSDT,6.7,2026-01-17 07:40:15,6.346,6.346,,6.346,,,,,,,,,,,,,
ZETAUSDT,5.82,2026-01-17 07:42:16,0.08288,0.08288,,0.08288,,,,,,,,,,,,,
CFXUSDT,5.22,2026-01-17 07:54:15,0.0778,0.0778,,0.0778,,,,,,,,,,,,,
RAREUSDT,7.62,2026-01-17 08:17:15,0.0239,0.0239,,0.0239,,,,,,,,,,,,,
BASUSDT,6.92,2026-01-17 08:18:15,0.005325,0.005325,,0.005325,,,,,,,,,,,,,
RIFUSDT,6.11,2026-01-17 08:27:16,0.0375,0.0375,,0.0375,,,,,,,,,,,,,
