ticker,volume,time,buy\short_price,min_price,min_price_time,max_price,max_price_time,RPS_(30%)_SL_1%,RPS_(30%)_SL_2%,RPS_(30%)_SL_3%,RPS_(30%)_SL_4%,RPS_(30%)_SL_5%,max_loss_%,RPB_(30%)_SL_1%,RPB_(30%)_SL_2%,RPB_(30%)_SL_3%,RPB_(30%)_SL_4%,RPB_(30%)_SL_5%,max_proffit_%
SOMIUSDT,12.18,2026-01-28 02:01:16,0.2601,0.2481,2026-01-28 02:34:00,0.3398,2026-01-28 10:45:00,0.0,0.0,0.0,0.0,0.0,4.6136101499423345,-1.0,-2.0,-3.0,-4.0,9.19261822376009,30.64206074586697
AUCTIONUSDT,5.02,2026-01-28 02:02:16,6.37,5.972,2026-01-28 18:53:00,6.729,2026-01-28 04:52:00,1.87441130298273,1.87441130298273,1.87441130298273,1.87441130298273,1.87441130298273,6.2480376766091,-1.0,-2.0,-3.0,-4.0,-5.0,5.635792778649922
ELSAUSDT,5.68,2026-01-28 02:04:16,0.12461,0.1175,2026-01-28 02:07:00,0.12995,2026-01-28 02:51:00,1.7117406307679972,1.7117406307679972,1.7117406307679972,1.7117406307679972,1.7117406307679972,5.705802102559991,-1.0,-2.0,-3.0,-4.0,-5.0,4.2853703555091975
PIEVERSEUSDT,5.59,2026-01-28 02:10:16,0.6196,0.5643,2026-01-28 20:48:00,0.6617,2026-01-28 08:09:00,-1.0,-2.0,-3.0,-4.0,-5.0,8.925112976113624,-1.0,-2.0,2.0384118786313707,2.0384118786313707,2.0384118786313707,6.794706262104569
FLUIDUSDT,6.71,2026-01-28 02:27:17,2.959,2.909,2026-01-28 02:30:00,3.255,2026-01-28 13:33:00,-1.0,-2.0,-3.0,-4.0,-5.0,1.6897600540723308,-1.0,3.0010138560324413,3.0010138560324413,3.0010138560324413,3.0010138560324413,10.003379520108139
BLESSUSDT,6.33,2026-01-28 02:52:16,0.0083,0.00768,2026-01-28 16:47:00,0.00839,2026-01-28 02:54:00,-1.0,2.240963855421686,2.240963855421686,2.240963855421686,2.240963855421686,7.469879518072288,-1.0,-2.0,-3.0,-4.0,-5.0,1.0843373493975879
DOODUSDT,6.69,2026-01-28 03:24:16,0.005213,0.004996,2026-01-28 21:41:00,0.00547,2026-01-28 08:33:00,-1.0,-2.0,-3.0,-4.0,1.2488010742374842,4.162670247458281,-1.0,-2.0,0.0,0.0,1.4789948206407075,4.929982735469025
FOGOUSDT,5.35,2026-01-28 04:38:16,0.04341,0.04122,2026-01-28 18:52:00,0.04732,2026-01-28 08:02:00,-1.0,-2.0,-3.0,-4.0,-5.0,5.044920525224597,-1.0,2.7021423635107147,2.7021423635107147,2.7021423635107147,2.7021423635107147,9.007141211702383
BANKUSDT,7.54,2026-01-28 04:51:17,0.05245,0.04961,2026-01-28 20:36:00,0.05245,,1.6244041944709222,1.6244041944709222,1.6244041944709222,1.6244041944709222,1.6244041944709222,5.414680648236407,-1.0,-2.0,-3.0,-4.0,-5.0,0.001
BANUSDT,18.01,2026-01-28 06:33:18,0.08029,0.07664,2026-01-28 18:20:00,0.08083,2026-01-28 06:52:00,1.3638062025158801,1.3638062025158801,1.3638062025158801,1.3638062025158801,1.3638062025158801,4.546020675052934,-1.0,-2.0,-3.0,-4.0,0.2017685888653626,0.6725619628845421
ONDOUSDT,9.21,2026-01-28 15:48:22,0.3518,0.3342,2026-01-28 18:14:00,0.3522,2026-01-28 15:49:00,1.500852757248437,1.500852757248437,1.500852757248437,1.500852757248437,1.500852757248437,5.002842524161457,-1.0,-2.0,-3.0,-4.0,-5.0,0.11370096645821814
CLANKERUSDT,5.56,2026-01-28 15:50:17,37.68,32.22,2026-01-28 23:12:00,38.11,2026-01-28 15:52:00,-1.0,4.3471337579617835,4.3471337579617835,4.3471337579617835,4.3471337579617835,14.490445859872613,-1.0,-2.0,-3.0,-4.0,-5.0,1.1411889596602964
SPKUSDT,5.43,2026-01-28 16:02:19,0.02325,0.02274,2026-01-28 18:45:00,0.02394,2026-01-28 21:59:00,-1.0,-2.0,0.6580645161290323,0.6580645161290323,0.6580645161290323,2.1935483870967745,-1.0,-2.0,0.8903225806451608,0.8903225806451608,0.8903225806451608,2.967741935483869
0GUSDT,5.14,2026-01-28 16:04:26,0.873,0.8027,2026-01-28 17:10:00,0.8833,2026-01-28 16:09:00,-1.0,2.415807560137458,2.415807560137458,2.415807560137458,2.415807560137458,8.05269186712486,-1.0,-2.0,-3.0,-4.0,-5.0,1.179839633447878
SSVUSDT,5.55,2026-01-28 16:43:17,4.312,4.269,2026-01-28 18:03:00,4.884,2026-01-28 23:23:00,-1.0,-2.0,-3.0,-4.0,-5.0,0.9972170686456434,3.9795918367346936,3.9795918367346936,3.9795918367346936,3.9795918367346936,3.9795918367346936,13.26530612244898
